Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_DE_JUVENTUD;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;IND_REEMPLAZO_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;ESTUDIOS_SECUNDARIOS;ESTUDIOS_UNIVERSITARIOS
SAN DIEGO;0.7;1564;53.03;0.917;27.05;2.55;0.326;75560.3;366.38;41.38;40.81;15;15.48;41.28;103.25;96.85;43.84;93.09;85.7;99.58;25.03;38.27;20.61;605;0.289;0.59;0.121
SAN CRISTÓBAL;0.06;1043;63.09;0.886;3.42;3.03;0.255;58487.58;140.3;39.18;38.45;19.66;14.35;52.46;72.97;137.04;51.54;99.64;123.34;103.16;28.49;46.55;25.01;209;0.359;0.578;0.063
SAN ANDRÉS;0.03;1390;67.76;0.9;3.56;2.71;0.249;99679.78;46.95;42.21;42.55;16.37;17.8;38.14;108.76;91.95;51.91;80.19;88.13;90.42;16.99;25.98;12.74;1308;0.323;0.564;0.113
ROSAS;0.01;2854;95.68;0.977;0.99;2.88;0.177;183538.62;33.89;40.1;44.02;20.38;12.43;27.31;60.96;164.04;48.83;52.1;116.69;68.77;4.62;8.58;2.14;152;0.126;0.527;0.347
RÍOS ROSAS;0.95;4726;93.64;0.663;18.6;2.26;0.387;258355.67;274.99;45.91;44.58;11.57;23.42;38.55;202.45;49.4;53.82;95.3;42.47;109.8;10.33;17.39;5.86;403;0.085;0.349;0.565
REJAS;0.03;2920;86.83;0.63;1.78;2.45;0.312;169354.92;31.45;38.18;39.24;20.85;11.56;44.02;55.46;180.32;47.96;83.73;86.77;97.89;14.03;21.98;8.38;191;0.106;0.467;0.427
RECOLETOS;1.78;7054;139.71;0.435;36.6;2.34;0.406;656012.66;177.68;45.65;45.54;12.16;22.63;33.89;186.06;53.75;53.36;86.2;46.82;121.43;14.43;21.89;6.35;294;0.048;0.31;0.643
QUINTANA;0.59;2478;66.09;0.876;25.13;2.37;0.353;119797.87;334.41;46.29;45.74;11.86;23.01;45.83;193.94;51.56;53.55;82.07;53.38;110.58;16.55;28.36;12.74;358;0.188;0.537;0.275
PUERTA DEL ÁNGEL;1.35;2130;67.73;0.913;21.21;2.38;0.349;103634.86;298.16;45.3;44.4;12.11;21.27;44;175.63;56.94;50.09;85.11;57.54;97.64;16.9;27.23;12.82;521;0.234;0.525;0.241
PUERTA BONITA;0.22;1651;66.88;0.94;9.09;2.71;0.279;89246.3;205.09;43.38;43.21;15;19.69;39.43;131.31;76.16;53.12;82.19;84.01;92.34;18.47;29.25;13.99;222;0.287;0.565;0.148
