N_ANNO;DISTRITO;Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;CLUSTER_JERAR;CLUSTER_KNN
2018;USERA;ORCASUR;0.04;2008;90.5;0.573;3.19;2.89;0.244;106240.45;97.83;40.74;41.17;14.63;38.52;85.38;117.12;46.57;82.61;102.87;13.39;21.63;10.8;132;0.337;0;0
2016;USERA;ORCASUR;0.04;1421;91.25;0.58;3.01;2.88;0.241;109340.31;95.64;40.39;40.54;14.86;37.88;83.63;119.57;48.44;86.93;98.5;10.54;18.35;8.17;80;0.362;0;0
2017;RETIRO;PACÍFICO;1.75;3555;70.37;0.714;20.44;2.3;0.348;156508.66;443.51;47.04;47.5;24.27;36.2;217.48;45.98;54.87;77.36;110.77;7.87;13.82;4.85;373;0.109;1;0
2019;RETIRO;PACÍFICO;1.75;4149;72.7;0.706;20.76;2.29;0.35;213305.19;442.74;47.52;48.03;24.96;35.41;234.76;42.6;55.28;77.78;105.27;8.81;14.98;5.39;273;0.097;1;0
2018;RETIRO;PACÍFICO;1.75;4059;77.92;0.709;20.69;2.3;0.348;208155.7;443.14;47.24;47.74;24.52;35.8;224.22;44.6;54.94;77.36;111.09;8.33;14.43;5.07;372;0.103;1;0
2016;RETIRO;PACÍFICO;1.75;3084;72.4;0.721;20.2;2.33;0.341;151767.55;444.63;46.78;47.08;23.72;36.87;210.7;47.46;53.78;78.5;111.14;7.91;13.89;4.79;368;0.117;1;0
2017;CENTRO;PALACIO;6.95;4474;70.79;0.685;17.76;2;0.476;181468.69;152.07;45.5;44.15;18.78;35.34;212.5;47.06;38.17;85.59;109.93;16.53;23.94;7.57;235;0.116;1;0
2019;CENTRO;PALACIO;6.95;4852;66.4;0.657;18.65;2.03;0.465;174941.09;155.95;45.72;44.51;18.85;32.86;226.71;44.11;37.3;83.03;104.5;17.57;25.11;7.95;213;0.103;1;0
2018;CENTRO;PALACIO;6.95;4873;71.79;0.675;18.12;2.01;0.472;223278.88;153.17;45.69;44.47;18.92;34.05;219.31;45.6;38.01;82.93;111.39;17.12;24.59;7.72;227;0.109;1;0
2016;CENTRO;PALACIO;6.95;3731;77.55;0.695;17.49;2.01;0.467;191009.8;152.32;45.25;43.82;18.71;35.47;206.2;48.5;38.48;88.2;109.42;16.31;23.64;7.4;178;0.123;1;0
2017;HORTALEZA;PALOMAS;0.1;3203;171.73;0.796;1;3.08;0.17;373828.83;59.14;39.19;41.82;13.89;17.78;63.43;157.65;55.72;63.47;62.37;8.8;13.69;3.05;63;0.041;0;0
2019;HORTALEZA;PALOMAS;0.1;3732;177.62;0.789;1.01;3.1;0.157;464053.36;60.1;39.89;42.58;14.73;19.2;70.67;141.5;55.2;64.1;65.37;9.91;14.77;3.49;53;0.037;0;0
2018;HORTALEZA;PALOMAS;0.1;3541;170.84;0.789;1.01;3.06;0.169;415462.39;59.64;39.65;42.28;14.56;19.06;68.46;146.08;55.83;63.73;69.23;8.92;13.82;2.92;62;0.04;0;0
2016;HORTALEZA;PALOMAS;0.1;2856;184.04;0.796;1;3.06;0.171;362472.59;58.33;38.96;41.51;13.46;17.59;61.3;163.13;54.84;64.26;60.4;8.98;13.81;3.22;47;0.042;0;0
2017;PUENTE DE VALLECAS;PALOMERAS BAJAS;0.19;1565;66.82;0.854;7.65;2.65;0.257;88921.52;228.14;42.91;44.61;16.33;39.02;114.76;87.14;44.01;73.2;87.96;11.53;18.9;8.6;395;0.258;0;0
2019;PUENTE DE VALLECAS;PALOMERAS BAJAS;0.19;2108;66.62;0.853;7.71;2.68;0.257;100527.46;233;43.28;44.86;16.32;38.5;123.64;80.88;41.87;75.37;88.39;14;21.6;10.95;331;0.237;0;0
2018;PUENTE DE VALLECAS;PALOMERAS BAJAS;0.19;1853;68.94;0.854;7.69;2.66;0.257;97984.39;230.12;43.12;44.71;16.39;39.3;119.68;83.56;43.02;74.39;85.35;12.63;20.07;9.7;314;0.249;0;0
2016;PUENTE DE VALLECAS;PALOMERAS BAJAS;0.19;1469;69.29;0.854;7.64;2.66;0.256;91147.61;227.66;42.67;44.34;16.27;38.3;110.7;90.34;44.87;72.62;85.54;11.14;18.11;8.2;275;0.269;0;0
2017;PUENTE DE VALLECAS;PALOMERAS SURESTE;0.04;1642;76.8;0.716;5.62;2.66;0.248;89748.79;135.08;43.47;43.84;18.46;37.4;130.9;76.39;48.29;79.65;92.55;9.93;16.51;6.91;443;0.325;0;0
2019;PUENTE DE VALLECAS;PALOMERAS SURESTE;0.04;2012;78.44;0.71;5.68;2.66;0.249;105622.64;137.02;43.66;44.01;18.3;38.25;130.49;76.63;47.75;78.61;98.06;11.8;18.73;8.5;391;0.297;0;0
2018;PUENTE DE VALLECAS;PALOMERAS SURESTE;0.04;2014;84.32;0.712;5.66;2.65;0.25;113149.26;135.5;43.59;43.98;18.46;38.21;130.82;76.44;48.31;78.74;93.31;10.53;17.3;7.42;410;0.311;0;0
2016;PUENTE DE VALLECAS;PALOMERAS SURESTE;0.04;1450;76.71;0.719;5.58;2.67;0.247;85123.33;134.75;43.25;43.51;18.65;35.99;130.03;76.9;49.23;82.15;96.1;9.51;15.81;6.58;324;0.339;0;0
2017;ARGANZUELA;PALOS DE MOGUER;4.15;3565;65.94;0.786;24.26;2.2;0.403;156640.28;394.48;45.56;44.24;20.35;39.21;202.06;49.49;43.72;89.27;113.56;13.91;23;9.75;311;0.141;1;0
2019;ARGANZUELA;PALOS DE MOGUER;4.15;3943;68.66;0.77;24.84;2.19;0.408;183352.43;397.89;45.78;44.47;20.65;37.1;210.63;47.48;43.8;89.04;109.13;14.89;23.72;10.09;330;0.124;1;0
2018;ARGANZUELA;PALOS DE MOGUER;4.15;3948;69.54;0.777;24.58;2.2;0.403;170545.66;397.07;45.72;44.42;20.51;38.38;207.22;48.26;43.71;88.3;113.25;14.27;23.3;9.74;336;0.132;1;0
2016;ARGANZUELA;PALOS DE MOGUER;4.15;2976;63.34;0.79;24;2.22;0.396;124550.93;396.15;45.34;44.1;20.23;39.55;196.22;50.96;43.96;89.93;111.43;14.24;23.45;10.05;316;0.15;1;0
2017;MORATALAZ;PAVONES;0.04;2269;76.76;0.939;2.27;2.8;0.231;117166.77;90.28;45.75;46.91;23.42;35.74;178.96;55.88;57.51;76.43;85.24;9.14;14.53;4.14;74;0.25;0;0
2019;MORATALAZ;PAVONES;0.04;2222;75.39;0.939;2.29;2.78;0.238;138832.36;90.5;46.51;48.02;24.87;35.43;202.14;49.47;59.15;76.54;86.65;10.27;16.12;5.51;57;0.234;0;0
2018;MORATALAZ;PAVONES;0.04;2568;81.31;0.939;2.27;2.78;0.227;126438.34;89.94;46.19;47.54;24.02;35.63;187.37;53.37;58.32;73.92;90.27;9.35;15.04;5.07;72;0.243;0;0
2016;MORATALAZ;PAVONES;0.04;2039;82.32;0.939;2.27;2.85;0.216;95963.18;91.39;45.05;46.17;22.48;34.14;166.19;60.17;56.26;77.49;95.36;9.54;14.75;4.07;38;0.253;0;0
2017;FUENCARRAL-EL PARDO;PEÑAGRANDE;0.12;3341;100.53;0.775;3.7;2.64;0.245;205892.31;153.3;45.89;46.79;24.53;26.7;186.5;53.62;60.46;78.6;100.65;6.94;12.08;4.53;411;0.163;0;0
2019;FUENCARRAL-EL PARDO;PEÑAGRANDE;0.12;3283;105.05;0.769;3.76;2.62;0.248;266667.65;154.15;46.43;47.39;25.66;27.33;194.4;51.44;63.54;75.4;91.64;7.69;13.23;5.2;347;0.148;0;0
2018;FUENCARRAL-EL PARDO;PEÑAGRANDE;0.12;3412;107.78;0.772;3.74;2.63;0.244;266979.45;153.82;46.17;47.11;25.04;27.11;190.46;52.5;61.78;76.87;97;7.36;12.73;4.9;501;0.155;0;0
2016;FUENCARRAL-EL PARDO;PEÑAGRANDE;0.12;2751;110.12;0.779;3.67;2.65;0.239;205958.09;152.9;45.62;46.44;23.89;26.2;182.76;54.72;58.62;79.5;96.33;6.75;11.66;4.32;233;0.169;0;0
2017;FUENCARRAL-EL PARDO;PILAR;0.22;2786;64.94;0.813;17.22;2.38;0.302;146168.42;336.03;48.31;47.81;29.66;31.16;270.64;36.95;68.4;83.71;107.34;9.8;16.97;7.05;382;0.212;0;0
2019;FUENCARRAL-EL PARDO;PILAR;0.22;3303;66.15;0.812;17.39;2.38;0.308;164868.47;340.51;48.36;47.78;29.27;33.37;268.5;37.24;67.14;81.72;108.1;11.43;18.98;8.34;310;0.193;0;0
2018;FUENCARRAL-EL PARDO;PILAR;0.22;3234;63.76;0.813;17.37;2.37;0.304;146912.58;338.13;48.36;47.84;29.49;32.14;271.66;36.81;67.64;82.59;104.55;10.55;18;7.66;209;0.203;0;0
2016;FUENCARRAL-EL PARDO;PILAR;0.22;2494;66.27;0.815;17.19;2.39;0.301;126398.86;335.46;48.25;47.74;29.69;29.15;274.62;36.41;68.07;86.63;110.75;9.49;16.47;6.75;322;0.221;0;0
2017;HORTALEZA;PINAR DEL REY;0.15;2500;71.89;0.837;10.02;2.48;0.274;129723.83;195.01;46.89;47.3;26.3;32.37;210.33;47.54;63.39;76.39;95.82;9.15;16.13;5.87;552;0.225;0;0
2019;HORTALEZA;PINAR DEL REY;0.15;2887;75;0.835;10.09;2.48;0.28;166413;197.73;47.03;47.44;26.33;34.16;210.51;47.5;63.51;76.26;93.78;10.71;18.15;7.29;628;0.205;0;0
2018;HORTALEZA;PINAR DEL REY;0.15;2907;70.96;0.837;10.07;2.47;0.278;155147.79;196.17;46.98;47.42;26.38;33.29;210.42;47.52;63.72;75.95;94.6;9.7;16.98;6.37;627;0.216;0;0
2016;HORTALEZA;PINAR DEL REY;0.15;2178;65.21;0.838;9.99;2.49;0.271;117996.85;195.81;46.59;46.86;26.08;30.89;204.71;48.85;63.44;78.21;94.48;8.96;15.66;5.75;841;0.233;0;0
2017;HORTALEZA;PIOVERA;0.03;4403;159.29;0.846;0.95;3.04;0.203;456428.16;46.1;40;42.21;13.08;25.3;70.11;142.63;46.48;70.3;83.56;14.03;20.29;4.29;208;0.047;0;0
2019;HORTALEZA;PIOVERA;0.03;4275;194.78;0.833;0.99;3.06;0.197;371702.46;47.49;40.55;42.89;13.86;24.3;75.32;132.77;47.6;68.96;84.96;14.67;20.74;4.45;104;0.046;0;0
2018;HORTALEZA;PIOVERA;0.03;4921;181.82;0.836;0.99;3.04;0.199;681904.08;46.89;40.26;42.59;13.32;24.53;71.86;139.16;46.75;68.76;89.43;13.84;20.02;4.03;146;0.046;0;0
2016;HORTALEZA;PIOVERA;0.03;4281;173.09;0.846;0.93;3.06;0.198;533577.88;45.91;39.6;41.94;12.34;25.24;65.07;153.68;45.59;69.12;79.17;14.34;20.38;4.11;78;0.049;0;0
2017;PUENTE DE VALLECAS;PORTAZGO;0.15;1535;68.58;0.967;11.19;2.61;0.276;80146.42;222.08;44.97;44.65;22.25;39.83;161.92;61.76;56.23;84.45;96.57;11.95;19.41;8.79;298;0.37;0;0
2019;PUENTE DE VALLECAS;PORTAZGO;0.15;1826;71.62;0.967;11.21;2.63;0.28;102805.46;227.66;44.84;44.4;21.66;39.73;157.53;63.48;54.84;84.1;101.78;14.4;22.67;11.02;284;0.34;0;0
2018;PUENTE DE VALLECAS;PORTAZGO;0.15;1712;72.57;0.967;11.2;2.61;0.277;107055.99;224.11;44.97;44.62;22.03;39.83;160.51;62.3;55.67;83.93;96.8;13.02;20.95;9.76;273;0.356;0;0
2016;PUENTE DE VALLECAS;PORTAZGO;0.15;1316;72.01;0.967;11.18;2.62;0.271;81408.01;222.02;44.91;44.61;22.52;38.98;160.92;62.14;57.51;85.28;92.74;11.58;18.59;8.35;220;0.383;0;0
2017;USERA;PRADOLONGO;0.11;1677;73.86;0.952;11.18;2.85;0.261;90692.38;153.49;42.66;41.87;18.21;40.2;125.08;79.95;48.73;91.71;101.16;29.68;40.9;26.98;229;0.327;0;0
2019;USERA;PRADOLONGO;0.11;2097;71.35;0.951;11.26;2.93;0.258;104630.84;159.08;42.18;41.49;17.2;41.03;119.06;83.99;46.3;92.63;103.64;33.88;45.09;31.14;193;0.303;0;0
2018;USERA;PRADOLONGO;0.11;1902;71.56;0.951;11.24;2.9;0.26;89191.23;157.29;42.27;41.52;17.51;41.29;119.71;83.53;47.37;93.32;102.78;31.93;43.29;29.19;238;0.315;0;0
2016;USERA;PRADOLONGO;0.11;1449;71.52;0.952;11.17;2.86;0.257;79335.62;152.59;42.64;41.69;18.55;38.91;125.54;79.66;50;94.42;103.44;28.4;39.23;25.68;150;0.341;0;0
2017;CHAMARTÍN;PROSPERIDAD;0.89;3730;75.39;0.796;18.6;2.3;0.364;193984.78;346.99;46.52;46.09;24.4;33.35;214.73;46.57;55.68;86.47;110.89;9.3;15.94;5.97;533;0.09;1;0
2019;CHAMARTÍN;PROSPERIDAD;0.89;4288;74.09;0.782;19.09;2.3;0.362;209232.69;352.39;46.7;46.23;24.94;32.4;221.82;45.08;56.7;86.74;117.16;10.34;17.25;6.46;380;0.079;1;0
2018;CHAMARTÍN;PROSPERIDAD;0.89;4344;78.45;0.787;18.94;2.31;0.361;214642.19;351.15;46.55;46.12;24.66;32.95;215.74;46.35;56.48;86.51;112.7;9.68;16.45;6.13;419;0.084;1;0
2016;CHAMARTÍN;PROSPERIDAD;0.89;3302;76.34;0.801;18.43;2.32;0.36;175354.57;347.63;46.35;45.92;23.91;32.99;211.4;47.3;54.36;86.77;112.85;9.09;15.92;5.99;380;0.095;1;0
2017;CIUDAD LINEAL;PUEBLO NUEVO;0.2;2228;66.93;0.873;14.92;2.56;0.284;103884.57;260.5;45.32;45.21;22.2;37.6;171.62;58.27;54.16;79.79;100.91;14.7;27.08;11.19;720;0.231;0;0
2019;CIUDAD LINEAL;PUEBLO NUEVO;0.2;2496;64.93;0.872;15.01;2.6;0.285;123821.92;267.81;45.31;45.18;21.78;37.84;174.51;57.3;52.11;81.45;97.44;17.27;30.22;13.37;578;0.208;0;0
2018;CIUDAD LINEAL;PUEBLO NUEVO;0.2;2418;67.64;0.872;15.01;2.58;0.284;116971.87;263.71;45.38;45.31;22.09;38.01;174.38;57.35;53.27;79.92;96.65;15.64;28.45;11.94;144;0.22;0;0
2016;CIUDAD LINEAL;PUEBLO NUEVO;0.2;1839;70.18;0.874;14.9;2.57;0.282;107456.67;260.04;45.21;44.97;22.26;37.1;172.11;58.1;54.29;81.5;100.95;14.46;26.41;11.01;587;0.241;0;0
2017;CARABANCHEL;PUERTA BONITA;0.22;1651;66.88;0.94;9.09;2.71;0.279;89246.3;205.09;43.38;43.21;19.69;39.43;131.31;76.16;53.12;82.19;92.34;18.47;29.25;13.99;222;0.287;0;0
2019;CARABANCHEL;PUERTA BONITA;0.22;1942;62.4;0.937;9.13;2.79;0.269;116562;216.71;42.91;42.75;18.48;40.38;124.24;80.49;50.05;84.83;91.6;22.45;33.54;17.83;290;0.26;0;0
2018;CARABANCHEL;PUERTA BONITA;0.22;1854;68.29;0.938;9.12;2.75;0.272;100668.76;210.94;43.12;43;19.13;40.14;126.86;78.83;51.98;83.17;89.63;20.36;31.21;15.9;273;0.275;0;0
2016;CARABANCHEL;PUERTA BONITA;0.22;1510;67.05;0.94;9.09;2.71;0.281;94469.59;203.9;43.28;42.89;19.99;38.93;131.03;76.32;54.45;84.19;90.91;17.77;28.02;13.31;155;0.299;0;0
2017;LATINA;PUERTA DEL ÁNGEL;1.35;2130;67.73;0.913;21.21;2.38;0.349;103634.86;298.16;45.3;44.4;21.27;44;175.63;56.94;50.09;85.11;97.64;16.9;27.23;12.82;521;0.234;0;0
2019;LATINA;PUERTA DEL ÁNGEL;1.35;2498;65.81;0.912;21.29;2.39;0.35;125627.11;303.43;45.21;44.35;20.75;42.73;177.31;56.4;48.05;86.39;100.26;19.26;29.8;14.9;433;0.207;0;0
2018;LATINA;PUERTA DEL ÁNGEL;1.35;2725;67.85;0.913;21.26;2.38;0.349;118213.15;301;45.2;44.31;20.95;43.51;175.14;57.1;49.06;85.46;102.48;18.11;28.48;13.92;551;0.219;0;0
2016;LATINA;PUERTA DEL ÁNGEL;1.35;1955;66.82;0.914;21.17;2.38;0.348;93932.43;297.46;45.36;44.32;21.66;43.74;179.28;55.78;50.91;86.68;100.65;16.86;26.67;12.78;415;0.246;0;0
2017;CIUDAD LINEAL;QUINTANA;0.59;2478;66.09;0.876;25.13;2.37;0.353;119797.87;334.41;46.29;45.74;23.01;45.83;193.94;51.56;53.55;82.07;110.58;16.55;28.36;12.74;358;0.188;0;0
2019;CIUDAD LINEAL;QUINTANA;0.59;2828;63.44;0.874;25.27;2.38;0.357;133077.2;340.5;46.06;45.21;22.19;45.05;193.59;51.66;50.71;85.58;111.37;18.42;31.08;14.1;264;0.166;0;0
2018;CIUDAD LINEAL;QUINTANA;0.59;2933;68.72;0.874;25.25;2.37;0.355;131465.2;337.05;46.18;45.59;22.59;45.74;194.05;51.53;52.07;83.3;107.79;17.42;29.63;13.39;80;0.177;0;0
2016;CIUDAD LINEAL;QUINTANA;0.59;2174;67.75;0.877;25.09;2.38;0.347;113347.27;334.84;46.27;45.59;23.29;45.44;194.68;51.37;54.46;82.64;114.79;15.75;27.32;12.03;242;0.199;0;0
2017;SALAMANCA;RECOLETOS;1.78;7054;139.71;0.435;36.6;2.34;0.406;656012.66;177.68;45.65;45.54;22.63;33.89;186.06;53.75;53.36;86.2;121.43;14.43;21.89;6.35;294;0.048;1;0
2019;SALAMANCA;RECOLETOS;1.78;8441;167.99;0.421;38.32;2.36;0.397;1002489.32;180.2;45.85;45.98;22.98;33.5;192.9;51.84;53.58;84.33;124.95;16.8;24.88;7.98;161;0.041;1;0
2018;SALAMANCA;RECOLETOS;1.78;7931;146.87;0.424;37.98;2.36;0.399;665124.51;180.45;45.68;45.71;22.72;33.5;190.88;52.39;52.94;86.36;118.64;15.81;23.69;7.13;248;0.043;1;0
2016;SALAMANCA;RECOLETOS;1.78;6144;161.23;0.442;35.8;2.37;0.403;625819.76;177.34;45.64;45.54;22.75;34.26;185.32;53.96;53.92;86.57;118.93;13.72;21.03;5.63;304;0.052;1;0
2017;SAN BLAS-CANILLEJAS;REJAS;0.03;2920;86.83;0.63;1.78;2.45;0.312;169354.92;31.45;38.18;39.24;11.56;44.02;55.46;180.32;47.96;83.73;97.89;14.03;21.98;8.38;191;0.106;0;0
2019;SAN BLAS-CANILLEJAS;REJAS;0.03;3022;66.19;0.618;1.84;2.5;0.305;182181.74;33.28;38.56;39.95;11.23;41.23;55.34;180.69;46.05;77.07;87.85;17.35;26.07;10.63;371;0.095;0;0
2018;SAN BLAS-CANILLEJAS;REJAS;0.03;3133;92.34;0.62;1.83;2.48;0.307;164776.88;32.53;38.19;39.4;11.23;43.61;54.01;185.15;47.1;80.96;90.4;15.65;23.94;9.4;171;0.101;0;0
2016;SAN BLAS-CANILLEJAS;REJAS;0.03;2505;99.14;0.641;1.73;2.44;0.317;173156.65;30.5;38.03;38.77;11.8;45.24;55.98;178.63;49.01;91.17;104.88;13.35;20.69;7.96;237;0.115;0;0
2017;CHAMBERÍ;RÍOS ROSAS;0.95;4726;93.64;0.663;18.6;2.26;0.387;258355.67;274.99;45.91;44.58;23.42;38.55;202.45;49.4;53.82;95.3;109.8;10.33;17.39;5.86;403;0.085;1;0
2019;CHAMBERÍ;RÍOS ROSAS;0.95;5001;85.06;0.654;18.93;2.26;0.389;290428.96;280.72;45.8;44.45;23.32;37.1;202.54;49.37;53.46;95.73;112.09;11.09;18.28;6.17;329;0.072;1;0
2018;CHAMBERÍ;RÍOS ROSAS;0.95;5044;91.99;0.657;18.83;2.25;0.391;311373.48;277.31;45.89;44.54;23.38;38.05;201.37;49.66;53.81;94.32;117.71;10.63;17.73;5.9;394;0.078;1;0
2016;CHAMBERÍ;RÍOS ROSAS;0.95;3920;75.96;0.667;18.48;2.27;0.38;221568.95;274.6;45.89;44.55;23.25;38.6;200.32;49.92;53.51;94.1;113.01;10.36;17.54;5.86;392;0.09;1;0
2017;SAN BLAS-CANILLEJAS;ROSAS;0.01;2854;95.68;0.977;0.99;2.88;0.177;183538.62;33.89;40.1;44.02;12.43;27.31;60.96;164.04;48.83;52.1;68.77;4.62;8.58;2.14;152;0.126;0;0
2019;SAN BLAS-CANILLEJAS;ROSAS;0.01;3121;86.45;0.954;1.01;2.86;0.186;162724.9;34.07;41.3;45.43;13.5;27.86;76.42;130.85;45.25;56.89;72.34;5.46;9.5;2.98;137;0.119;0;0
2018;SAN BLAS-CANILLEJAS;ROSAS;0.01;2993;90.4;0.955;1.01;2.87;0.181;191567.28;33.95;40.78;45.02;13.11;27.48;68.97;144.98;47.3;54.13;71.57;4.82;8.75;2.44;170;0.123;0;0
2016;SAN BLAS-CANILLEJAS;ROSAS;0.01;2574;91.44;0.979;0.98;2.89;0.179;150773.03;33.9;39.38;43.02;11.76;26.63;54.47;183.57;50.06;51.77;62.97;4.85;8.61;2.24;104;0.127;0;0
2017;VILLAVERDE;SAN ANDRÉS;0.03;1390;67.76;0.9;3.56;2.71;0.249;99996.45;46.95;42.21;42.55;17.8;38.14;108.76;91.95;51.91;80.19;90.42;16.99;25.98;12.74;209;0.323;0;0
2016;VILLAVERDE;SAN ANDRÉS;0.03;1291;69.3;0.899;3.54;2.72;0.251;99996.45;46.64;42.06;42.23;17.99;36.11;109.69;91.16;52.4;82.97;89.43;16.51;25.17;12.22;1130;0.332;0;0
2017;VILLAVERDE;SAN CRISTÓBAL;0.06;1043;63.09;0.886;3.42;3.03;0.255;58487.58;140.3;39.18;38.45;14.35;52.46;72.97;137.04;51.54;99.64;103.16;28.49;46.55;25.01;209;0.359;0;0
2019;VILLAVERDE;SAN CRISTÓBAL;0.06;1467;62.92;0.886;3.42;3.14;0.246;83013.39;148.29;38.62;37.73;12.81;51.09;66.81;149.68;47.05;102.56;106.93;32.18;50.37;29.07;293;0.32;0;0
2018;VILLAVERDE;SAN CRISTÓBAL;0.06;1252;61.73;0.886;3.41;3.06;0.247;70411.1;143.17;39.05;38.3;13.74;52.44;71.38;140.09;49.25;100.58;105.73;30.21;48.46;26.89;248;0.342;0;0
2016;VILLAVERDE;SAN CRISTÓBAL;0.06;961;61.73;0.886;3.42;3.03;0.259;108567.17;139.56;39.26;38.44;14.91;51.8;76.89;130.05;52.23;102.49;100.72;27.5;45.35;24.02;154;0.371;0;0
2017;PUENTE DE VALLECAS;SAN DIEGO;0.7;1564;53.03;0.917;27.05;2.55;0.326;75560.3;366.38;41.38;40.81;15.48;41.28;103.25;96.85;43.84;93.09;99.58;25.03;38.27;20.61;605;0.289;0;0
2019;PUENTE DE VALLECAS;SAN DIEGO;0.7;1928;55.95;0.917;27.16;2.63;0.321;90574.85;389.43;40.88;40.36;14.22;40.62;95.55;104.66;41.05;94.62;109.77;28.89;42.72;24.36;518;0.256;0;0
2018;PUENTE DE VALLECAS;SAN DIEGO;0.7;1783;55.58;0.917;27.14;2.58;0.326;87719.41;376.37;41.18;40.7;14.95;41.3;99.36;100.65;42.84;92.79;104.28;26.32;40.08;22;679;0.273;0;0
2016;PUENTE DE VALLECAS;SAN DIEGO;0.7;1370;52.44;0.919;26.98;2.56;0.325;77429.89;364.09;41.31;40.56;15.83;40.99;104.21;95.96;44.96;95.9;101.9;24.52;37.1;20.04;521;0.302;0;0
2017;USERA;SAN FERMÍN;0.23;1714;77.36;0.863;4.12;2.83;0.232;100127.93;155.39;39.69;40.91;14.47;33.21;74.13;134.9;51.51;76.18;80.87;16.19;25.49;12.77;218;0.278;0;0
2019;USERA;SAN FERMÍN;0.23;2041;78.45;0.854;4.18;2.86;0.232;114882.63;160.4;40.13;41.37;14.25;33.2;77.45;129.11;48.49;75.76;76.99;19.1;28.99;15.36;189;0.258;0;0
2018;USERA;SAN FERMÍN;0.23;1815;76.87;0.854;4.18;2.83;0.235;107537.65;157.31;39.99;41.17;14.53;33.57;76.55;130.63;50.4;75.82;74.72;17.49;27.2;13.96;222;0.268;0;0
2016;USERA;SAN FERMÍN;0.23;1459;79.07;0.865;4.11;2.84;0.231;100869.35;154.77;39.32;40.42;14.4;31.86;71.67;139.53;52.67;79.32;80.74;15.51;24.55;11.87;148;0.288;0;0
2017;CARABANCHEL;SAN ISIDRO;0.41;1801;67.16;0.864;11.36;2.55;0.307;100653.8;199.84;43.87;43.52;19.73;38.81;142.22;70.31;50.6;83.92;101.58;17.76;27.79;13.04;426;0.279;0;0
2019;CARABANCHEL;SAN ISIDRO;0.41;2303;67.69;0.86;11.43;2.58;0.306;115202.19;205.11;43.89;43.59;19.29;38.05;144.95;68.99;48.35;83.96;99.07;19.84;30.68;15.09;378;0.251;0;0
2018;CARABANCHEL;SAN ISIDRO;0.41;2084;65.71;0.862;11.4;2.57;0.305;116905.7;202.99;43.87;43.62;19.48;38.7;143.39;69.74;49.42;83.53;100.37;18.71;29.18;14.07;451;0.265;0;0
2016;CARABANCHEL;SAN ISIDRO;0.41;1665;67.81;0.865;11.3;2.56;0.303;101397.24;199.18;43.84;43.41;19.97;38.02;142.89;69.98;51.4;85.34;97.5;17.06;26.67;12.36;334;0.289;0;0
2017;CIUDAD LINEAL;SAN JUAN BAUTISTA;0.24;3747;108.13;0.584;5.73;2.59;0.284;277275.54;122.34;43.88;44.81;21.2;31.69;135.09;74.03;58.47;74.59;87.88;8.33;13.88;4.46;131;0.083;0;0
2019;CIUDAD LINEAL;SAN JUAN BAUTISTA;0.24;4288;105.86;0.571;5.91;2.57;0.284;252055.93;123.53;44.19;45.31;21.53;33.47;138.25;72.33;59.01;73.43;94.46;9.55;15.06;5.18;125;0.072;0;0
2018;CIUDAD LINEAL;SAN JUAN BAUTISTA;0.24;3894;108.78;0.573;5.89;2.58;0.285;263946.55;123;43.93;44.88;21.24;33.62;135.3;73.91;58.58;75.04;95.27;8.72;14.05;4.78;2324;0.077;0;0
2016;CIUDAD LINEAL;SAN JUAN BAUTISTA;0.24;3800;104.84;0.594;5.61;2.59;0.289;229238.78;121.7;43.65;44.65;20.96;30.63;132.05;75.73;58.33;74.53;83.22;8.03;13.53;4.3;99;0.088;0;0
2017;CIUDAD LINEAL;SAN PASCUAL;0.2;3178;82.42;0.668;8.86;2.42;0.305;189346.41;171.95;46.94;48.16;25.61;32.59;202.8;49.31;61.91;74.82;96.95;7.61;13.14;4.66;177;0.165;0;0
2019;CIUDAD LINEAL;SAN PASCUAL;0.2;3402;76.18;0.657;9.11;2.41;0.314;188547.24;172.22;47.33;48.53;26.16;33.42;207.71;48.14;63.26;70.74;93.82;8.09;14.29;5.1;142;0.153;0;0
2018;CIUDAD LINEAL;SAN PASCUAL;0.2;3471;80.08;0.658;9.07;2.41;0.313;196667.7;171.63;47.2;48.37;25.97;33.23;207.34;48.23;62.58;72.99;90.46;7.77;13.68;4.79;157;0.16;0;0
2016;CIUDAD LINEAL;SAN PASCUAL;0.2;3032;81.49;0.679;8.69;2.44;0.303;167780.56;171.81;46.73;47.96;25.26;31.78;199;50.25;61.17;74.88;96.41;7.55;12.85;4.66;148;0.172;0;0
