N_ANNO;DISTRITO;Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;CLUSTER_JERAR;CLUSTER_KNN
2018;RETIRO;IBIZA;2.13;5226;96.94;0.702;25.79;2.32;0.361;299998.9;436.45;46.94;46.69;24.9;39.09;200.83;49.79;59.48;76.07;113.29;9.9;16.13;5.21;333;0.09;1;0
2016;RETIRO;IBIZA;2.13;3939;90.11;0.716;25.08;2.33;0.356;236548.95;435.66;46.94;46.54;24.79;41.11;201.63;49.6;58.94;78.73;109.41;9.08;15.1;4.64;248;0.105;1;0
2017;ARGANZUELA;IMPERIAL;0.91;3382;79.87;0.859;8.85;2.37;0.329;174498.22;234.02;45.54;46.01;20.62;36.39;164.05;60.96;49.67;71.65;98.18;6.61;11.43;3.66;195;0.121;0;0
2019;ARGANZUELA;IMPERIAL;0.91;3922;82.61;0.843;9.08;2.36;0.33;201208.06;235.26;46.11;46.61;21.56;34.7;181.91;54.97;50.17;71.61;109.82;7.05;11.88;3.84;124;0.109;0;0
2018;ARGANZUELA;IMPERIAL;0.91;3896;83.18;0.848;9.02;2.36;0.33;192898.75;234.78;45.79;46.24;21;35.55;170.82;58.54;49.91;71.61;101.41;6.68;11.42;3.68;160;0.114;0;0
2016;ARGANZUELA;IMPERIAL;0.91;2920;79.01;0.859;8.81;2.39;0.326;157507.84;234.36;45.18;45.51;20.2;36.69;155.43;64.34;49.71;72.97;99;6.56;11.17;3.58;140;0.127;0;0
2017;CENTRO;JUSTICIA;10.54;5252;93.19;0.641;36.26;1.96;0.497;314456.32;221.45;44.09;42.32;16.56;36.17;183.24;54.57;34.41;96.45;131.49;19.37;28.21;9.04;405;0.084;1;0
2019;CENTRO;JUSTICIA;10.54;5893;101.6;0.626;37.53;2;0.487;369451.06;231.98;44.24;42.81;16.08;34.74;189.81;52.68;32.54;92.47;113.48;21.38;30.06;9.93;359;0.074;1;0
2018;CENTRO;JUSTICIA;10.54;5989;98.98;0.635;36.89;1.98;0.49;407543.44;224.2;44.18;42.46;16.4;35.84;189.28;52.83;33.44;96.12;122.04;20.57;29.37;9.69;445;0.078;1;0
2016;CENTRO;JUSTICIA;10.54;4612;94.51;0.647;35.79;1.97;0.494;324893.59;222.07;43.9;41.99;16.64;36.75;175.47;56.99;35.36;98.45;129.49;18.53;27.07;8.47;295;0.09;1;0
